Genus,Subgenus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Allexivirus,Acarallexivirus,Allexivirus alphallii,garlic virus A,Sumi,AB010300,Complete genome,GarVA
Allexivirus,Acarallexivirus,Allexivirus betallii,garlic virus B,Mesi 13,KM379144,Complete genome,GarVB
Allexivirus,Acarallexivirus,Allexivirus chiallii,garlic virus C,Sumi,AB010302,Complete genome,GarVC
Allexivirus,Acarallexivirus,Allexivirus deltallii,garlic virus D,SW10,KF555653,Complete genome,GarVD
Allexivirus,Acarallexivirus,Allexivirus ecsallii,garlic virus X,Korea,U89243,Complete genome,GarVX
Allexivirus,Acarallexivirus,Allexivirus ecsascalonicum,shallot virus X,Kanyuka,M97264,Complete genome,ShVX
Allexivirus,Acarallexivirus,Allexivirus epsalii,garlic virus E,YH,AJ292230,Complete genome,GarVE
Allexivirus,,Allexivirus epsilonrubi,blackberry virus E,BB_Ellis-1,JN053266,Complete genome,BVE
Allexivirus,,Allexivirus filumallii,garlic mite-borne filamentous virus,,X98991,Partial genome (non-compliant),GarMbFV
Allexivirus,,Allexivirus latensvanillae,Vanilla latent virus,CRV2148ALL,MF150239,Complete genome,VLV
Allexivirus,,Allexivirus pintoi,Arachis pintoi virus,Var A,KX058345,Complete genome,ApV
Allexivirus,,Allexivirus rehmanniae,Rehmannia allexivirus,59,PP097219,Complete genome,ReAV
Allexivirus,,Allexivirus sennae,Senna severe yellow mosaic virus,,MN031278,Complete genome,SSYMV
Allexivirus,,Allexivirus sigmamedicagonis,Alfalfa virus S,98.3A,KY696659,Complete genome,AVS
Botrexvirus,,Botrexvirus duosclerotiniae,Sclerotinia sclerotiorum alphaflexivirus 2,Ss32-9,OQ865609,Complete genome,SsAFV2
Botrexvirus,,Botrexvirus ecsbotrytis,Botrytis virus X,Howitt,AY055762,Complete genome,BotVX
Botrexvirus,,Botrexvirus unosclerotiniae,Sclerotinia sclerotiorum alphaflexivirus 1,SsAHS31,ON993219,Complete genome,SsAFV1
Lolavirus,,Lolavirus latenslolii,lolium latent virus,US1,EU489641,Complete genome,LoLV
Platypuvirus,,Platypuvirus asinorchis,donkey orchid symptomless virus,Mariginiup11,KC923234,Complete genome,DOSV
Potexvirus,Mandarivirus,Potexvirus citriflavimaculae,citrus yellow mottle-associated virus,PS,MK957246,Complete genome,CiYMaV
Potexvirus,Mandarivirus,Potexvirus citriflavivenae,citrus yellow vein clearing virus,CQ,KP313240,Complete genome,CYVCV
Potexvirus,Mandarivirus,Potexvirus citrindicum,Indian citrus ringspot virus,K1,AF406744,Complete genome,ICRSV
Potexvirus,,Potexvirus alternantherae,alternanthera mosaic virus,Pennsylavania,AY863024,Complete genome,AltMV
Potexvirus,,Potexvirus babaci,Babaco mosaic virus,,MF978248,Complete genome,BabMV
Potexvirus,,Potexvirus bambusae,bamboo mosaic virus,O,D26017,Complete genome,BaMV
Potexvirus,,Potexvirus chaenostomae,Chaenostoma potexvirus,,OL979628,Complete genome,ChPV
Potexvirus,,Potexvirus colombiense,Cassava Colombian symptomless virus,,KC505252,Complete genome,CsCSV
Potexvirus,,Potexvirus cymbidii,cymbidium mosaic virus,Singapore,U62963,Complete genome,CymMV
Potexvirus,,Potexvirus ecsadenii,Adenium obesum virus X,,OR039325,Complete genome,AobVX
Potexvirus,,Potexvirus ecsadenii,desert rose mottle virus,,OR240084,Complete genome,DRMoV
Potexvirus,,Potexvirus ecsallii,allium virus X,Netherlands,FJ670570,Complete genome,AVX
Potexvirus,,Potexvirus ecsalstroemeriae,alstroemeria virus X,Japan,AB206396,Complete genome,AlsVX
Potexvirus,,Potexvirus ecscacti,cactus virus X,Taiwan,AF308158,Complete genome,CVX
Potexvirus,,Potexvirus ecscaricae,papaya virus X,Yuto,MN265368,Coding-complete genome,PapVX
Potexvirus,,Potexvirus ecschlumbergerae,schlumbergera virus X,K11,AY366207,Complete genome,SchVX
Potexvirus,,Potexvirus ecscnidii,Cnidium virus X,,LC460456,Complete genome,CnVX
