Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Betabotoulivirus,Betabotoulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 1,DMG-A_31944,MN532588,Coding-complete genome,PvaOLV1
Betabotoulivirus,Betabotoulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 2,DMG-B_49298,MN532589,Coding-complete genome,PvaOLV2
Betabotoulivirus,Betabotoulivirus deltaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 52,,MN532639,Coding-complete genome,PvaOLV52
Betabotoulivirus,Betabotoulivirus entoleucae,Entoleuca ourmia-like virus 1,E112-4,MF375889,Coding-complete genome,EnOLV1
Betabotoulivirus,Betabotoulivirus epsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 53,DMS5_30737,MN532640,Coding-complete genome,PvaOLV53
Betabotoulivirus,Betabotoulivirus etaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 55,DMG-A_37194,MN532642,Coding-complete genome,PvaOLV55
Betabotoulivirus,Betabotoulivirus gammaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 4,DMG-A_37954,MN532591,Coding-complete genome,PvaOLV4
Betabotoulivirus,Betabotoulivirus phaeoacremonium,Phaeoacremonium minimum ourmia-like virus 3,CREA-VE-28SY2,MK584848,Coding-complete genome,PmOLV3
Betabotoulivirus,Betabotoulivirus thetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 60,DMS6_38778,MN532647,Coding-complete genome,PvaOLV60
Betabotoulivirus,Betabotoulivirus zetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 54,DMS8_17200,MN532641,Coding-complete genome,PvaOLV54
Betarhizoulivirus,Betarhizoulivirus solani,Rhizoctonia solani ourmia-like virus 5,,MK372909,Coding-complete genome,RsOLV5
Betascleroulivirus,Betascleroulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 34,DMG-A_34896,MN532621,Coding-complete genome,PavOLV34
Betascleroulivirus,Betascleroulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 35,DMG-D_Contig,MN532622,Coding-complete genome,PavOLV35
Betascleroulivirus,Betascleroulivirus botrytidis,Botrytis cinerea ourmia-like virus 10,BCS1_DN3465,MN605476,Coding-complete genome,BcOLV10
Betascleroulivirus,Betascleroulivirus deltaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 38,DMG-B_45269,MN532625,Coding-complete genome,PavOLV38
Betascleroulivirus,Betascleroulivirus epsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 39,DMS9_28604,MN532626,Coding-complete genome,PavOLV39
Betascleroulivirus,Betascleroulivirus etaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 41,DMS9_29231,MN532628,Coding-complete genome,PavOLV41
Betascleroulivirus,Betascleroulivirus gammaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 37,DMG-B_Contig4,MN532624,Coding-complete genome,PavOLV37
Betascleroulivirus,Betascleroulivirus iotaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 43,DMS1_14782,MN532630,Coding-complete genome,PavOLV43
Betascleroulivirus,Betascleroulivirus kappaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 48,DMS3_36060,MN532635,Coding-complete genome,PavOLV48
Betascleroulivirus,Betascleroulivirus lambdaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 51,DMG-A_34547,MN532638,Coding-complete genome,PavOLV51
Betascleroulivirus,Betascleroulivirus miplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 67,DMS4_34267,MN532654,Coding-complete genome,PavOLV67
Betascleroulivirus,Betascleroulivirus pyriculariae,Pyricularia oryzae ourmia-like virus 2,Br48,LC413502,Complete genome,PoOLV2
Betascleroulivirus,Betascleroulivirus thetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 42,DMG-G_38207,MN532629,Coding-complete genome,PavOLV42
Betascleroulivirus,Betascleroulivirus zetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 40,DMG-A_36999,MN532627,Coding-complete genome,PavOLV40
Botoulivirus,Botoulivirus alphabotrytidis,Botrytis cinerea ourmia-like virus 4,BCI10_DN4356,MN605470,Coding-complete genome,BcOLV4
Botoulivirus,Botoulivirus alphapestalotiopsis,Pestalotiopsis botourmiavirus 3,,MW017457,Coding-complete genome,PBV3
Botoulivirus,Botoulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 3,DMG-D_30438,MN532590,Coding-complete genome,PvaOLV3
Botoulivirus,Botoulivirus alphasclerotiniae,Sclerotinia sclerotiorum ourmia-like virus 2,291,KP900929,Partial genome (non-compliant),SsOLV2
Botoulivirus,Botoulivirus betabotrytidis,Botrytis cinerea ourmia-like virus 11,BCI7_DN2190,MN605477,Coding-complete genome,BcOLV11
Botoulivirus,Botoulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 56,DMS4_34773,MN532643,Coding-complete genome,PvaOLV56
Botoulivirus,Botoulivirus betasclerotiniae,Sclerotinia sclerotiorum ourmia-like virus 3,,MF444276,Coding-complete genome,SsOLV3
Botoulivirus,Botoulivirus botrytidis,Botrytis ourmia-like virus,HAZ2-3,LN827955,Complete genome,BOLV
Botoulivirus,Botoulivirus deltabotrytidis,Botrytis cinerea ourmia-like virus 13,BCS2_15Bc,MN605479,Coding-complete genome,BcOLV13
Botoulivirus,Botoulivirus deltaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 58,DMG-B_40118,MN532645,Coding-complete genome,PvaOLV58
Botoulivirus,Botoulivirus epicocci,Epicoccum nigrum ourmia-like virus 1,CREA-VE-1SY1,MK584842,Coding-complete genome,EnOLV1
Botoulivirus,Botoulivirus epsilonbotrytidis,Botrytis cinerea ourmia-like virus 14,BCS15_DN11704,MN605480,Coding-complete genome,BcOLV14
Botoulivirus,Botoulivirus epsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 59,DMG-C_25545,MN532646,Coding-complete genome,PvaOLV59
Botoulivirus,Botoulivirus etabotrytidis,Botrytis cinerea ourmia-like virus 16,BCS12_1,MN605482,Coding-complete genome,BcOLV16
Botoulivirus,Botoulivirus etaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 81,DMG-B_54471,MN532668,Coding-complete genome,PvaOLV81
Botoulivirus,Botoulivirus gammabotrytidis,Botrytis cinerea ourmia-like virus 12,BCI10_DN3618,MN605478,Coding-complete genome,BcOLV12
Botoulivirus,Botoulivirus gammabotrytidis,Sclerotinia minor botoulivirus 1,LC45,MN599068,Coding-complete genome,SmBV1
Botoulivirus,Botoulivirus gammaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 57,DMS5_22836,MN532644,Coding-complete genome,PvaOLV57
Botoulivirus,Botoulivirus iotabotrytidis,Botrytis cinerea botoulivirus 18,,OK634395,Coding-complete genome,BcBoV18
Botoulivirus,Botoulivirus kappabotrytidis,Botrytis cinerea botoulivirus 19,,OK634396,Coding-complete genome,BcBoV19
Botoulivirus,Botoulivirus thetabotrytidis,Botrytis cinerea ourmia-like virus 17,BCI2_DN5291,MN605483,Coding-complete genome,BcOLV17
Botoulivirus,Botoulivirus zetabotrytidis,Botrytis cinerea ourmia-like virus 15,BCS2_DN470,MN605481,Coding-complete genome,BcOLV15
Botoulivirus,Botoulivirus zetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 61,DMG-A_34540,MN532648,Coding-complete genome,PvaOLV61
Deltascleroulivirus,Deltascleroulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 64,DMG-A_13793,MN532651,Coding-complete genome,PavOLV64
Deltascleroulivirus,Deltascleroulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 80,DMS10_21607,MN532667,Coding-complete genome,PavOLV80
Deltascleroulivirus,Deltascleroulivirus botrytidis,Botrytis cinerea ourmia-like virus 5,BCI5_DN19,MN605471,Coding-complete genome,BcOLV5
Epsilonscleroulivirus,Epsilonscleroulivirus alphaoryzae,Magnaporthe oryzae botourmiavirus 7,,MN971592,Coding-complete genome,MBOV7
Epsilonscleroulivirus,Epsilonscleroulivirus plasmoparae,Plasmopara viticola lesion associated ourmia-like virus 45,,MN532632,Coding-complete genome,PavOLV45
Gammascleroulivirus,Gammascleroulivirus alphaoryzae,Magnaporthe oryzae botourmiavirus 6,,MN971591,Coding-complete genome,MBOV6
Gammascleroulivirus,Gammascleroulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 49,DMG-B_51647,MN532636,Coding-complete genome,PavOLV49
Gammascleroulivirus,Gammascleroulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 50,DMG-A_29287,MN532637,Coding-complete genome,PavOLV50
Magoulivirus,Magoulivirus acremonii,Acremonium sclerotigenum ourmia-like virus 1,CREA-VE-3SY2,MK584845,Coding-complete genome,AsOLV1
Magoulivirus,Magoulivirus alphabotrytidis,Botrytis cinerea ourmia-like virus 6,BCS1_DN27,MN605472,Coding-complete genome,BcOLV6
Magoulivirus,Magoulivirus alphabotrytidis,Botrytis cinerea oumia-like virus 8,BCS3_DN27,MN605474,Coding-complete genome,BcOLV8
Magoulivirus,Magoulivirus alphaheterobasidion,Heterobasidion ourmia-like virus 1,RKU3.2.124,MZ502383,Coding-complete genome,HetOlV1
Magoulivirus,Magoulivirus alphamacrophominae,Macrophomina phaseolina ourmia-like virus 2,,MT062429,Coding-complete genome,MpOLV2
Magoulivirus,Magoulivirus alphamellea,Armillaria mellea ourmia-like virus 2,CMW3973,MW423803,Coding-complete genome,AmOlV2
Magoulivirus,Magoulivirus alphaodothidea,Botryosphaeria dothidea Ourmia-like virus 1,PGMJ17,MK189195,Coding-complete genome,BdOLV1
Magoulivirus,Magoulivirus alphaoryzae,Magnaporthe oryzae botourmiavirus 2,YC81-2,MW117114,Coding-complete genome,MoBV2
Magoulivirus,Magoulivirus alphaoxyspori,Fusarium oxysporum ourmia-like virus 1,HuN8,MT551010,Coding-complete genome,FoOuLV1
Magoulivirus,Magoulivirus alphaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 5,DMG-B_54689,MN532592,Coding-complete genome,PavOLV5
Magoulivirus,Magoulivirus betabotrytidis,Botrytis cinerea ourmia-like virus 7,BCS14_DN363,MN605473,Coding-complete genome,BcOLV7
Magoulivirus,Magoulivirus betamacrophominae,Macrophomina phaseolina ourmia-like virus 2-A,,MT062430,Coding-complete genome,MpOLV2-A
Magoulivirus,Magoulivirus betaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 6,DMG-B_8483,MN532593,Coding-complete genome,PavOLV6
Magoulivirus,Magoulivirus cladosporii,Cladosporium cladosporioides ourmia-like virus 2,CREA-VE-6AS1,MK584847,Coding-complete genome,CcOLV2
Magoulivirus,Magoulivirus cladosporii,Plasmopara viticola lesion associated ourmia-like virus 28,DMG-B_56496,MN532615,Coding-complete genome,PavOLV28
Magoulivirus,Magoulivirus colletotrichi,Colletotrichum gloeosporioides ourmia-like virus 1,T2,MK542706,Complete genome,CgOLV1
Magoulivirus,Magoulivirus deltaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 8,DMG-B_54149,MN532595,Coding-complete genome,PavOLV8
Magoulivirus,Magoulivirus epsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 9,DMS6_42418,MN532596,Coding-complete genome,PavOLV9
Magoulivirus,Magoulivirus etaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 11,DMG-B_52945,MN532598,Coding-complete genome,PavOLV11
Magoulivirus,Magoulivirus fiplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 25,DMS4_34176,MN532612,Coding-complete genome,PavOLV25
Magoulivirus,Magoulivirus gammaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 7,DMS6_42536,MN532594,Coding-complete genome,PavOLV7
Magoulivirus,Magoulivirus iotaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 13,DMG-A_34860,MN532600,Coding-complete genome,PavOLV13
Magoulivirus,Magoulivirus ipsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 24,DMG-B_50766,MN532611,Coding-complete genome,PavOLV24
Magoulivirus,Magoulivirus jiplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 26,DMS1_25556,MN532613,Coding-complete genome,PavOLV26
Magoulivirus,Magoulivirus kappaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 14,DMG-F_43504,MN532601,Coding-complete genome,PavOLV14
Magoulivirus,Magoulivirus lambdaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 15,DMS4_34466,MN532602,Coding-complete genome,PavOLV15
Magoulivirus,Magoulivirus malus,apple ourmia-like virus 3,WA1,MN386963,Coding-complete genome,AOLV3
Magoulivirus,Magoulivirus miplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 16,DMG-D_27335,MN532603,Coding-complete genome,PavOLV16
Magoulivirus,Magoulivirus niplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 17,DMG-E_18335,MN532604,Coding-complete genome,PavOLV17
Magoulivirus,Magoulivirus omegaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 27,DMG-D_13497,MN532616,Coding-complete genome,PavOLV27
Magoulivirus,Magoulivirus omicronplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 19,DMG-B_12886,MN532606,Coding-complete genome,PavOLV19
Magoulivirus,Magoulivirus oryzae,Magnaporthe oryzae ourmia-like virus 1,Guy 11,LT593139,Complete genome,MOLV1
Magoulivirus,Magoulivirus penicillii,Penicillium citrinum ourmia-like virus 1,MUT1071,MG887747,Coding-complete genome,PcOLV1
