Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Gemycircularvirus,Gemycircularvirus abati1,Genomoviridae sp. ctbi89,,MK032723,Complete genome,
Gemycircularvirus,Gemycircularvirus alces1,Alces alces faeces associated genomovirus MP84,,MG641204,Complete genome,
Gemycircularvirus,Gemycircularvirus alces2,Alces alces faeces associated genomovirus MP157,,MG641207,Complete genome,
Gemycircularvirus,Gemycircularvirus ansal1,Genomoviridae sp. bif24cir1,,MN928911,Complete genome,
Gemycircularvirus,Gemycircularvirus aspar1,plant associated genomovirus 21,QS30_F24,MH939436,Complete genome,
Gemycircularvirus,Gemycircularvirus austro1,blackfly genomovirus 2,SF02_631,MK433234,Complete genome,
Gemycircularvirus,Gemycircularvirus austro2,blackfly genomovirus 7,SF02_767,MK433239,Complete genome,
Gemycircularvirus,Gemycircularvirus austro3,blackfly genomovirus 4,SF02_836,MK433236,Complete genome,
Gemycircularvirus,Gemycircularvirus austro4,blackfly genomovirus 9,SF02_507,MK433241,Complete genome,
Gemycircularvirus,Gemycircularvirus austro5,blackfly genomovirus 5,SF02_599,MK433237,Complete genome,
Gemycircularvirus,Gemycircularvirus austro6,blackfly genomovirus 10,SF02_506,MK433242,Complete genome,
Gemycircularvirus,Gemycircularvirus bemta1,Bemisia-associated genomovirus AdO,,KY230614,Complete genome,
Gemycircularvirus,Gemycircularvirus blabi1,blackbird associated gemycircularvirus 1,as41,KF371643,Complete genome,BlGCV1
Gemycircularvirus,Gemycircularvirus bovas1,bovine associated gemycircularvirus 1,52_Fec78023_cow,KT862253,Complete genome,BoGCV1
Gemycircularvirus,Gemycircularvirus bromas1,bromus associated gemycircularvirus 1,NZ-NZG01-Sef-2012,KM510192,Complete genome,BGCV1
Gemycircularvirus,Gemycircularvirus canlup1,Lupine feces-associated gemycircularvirus 2,South Douro,KY214442,Complete genome,
Gemycircularvirus,Gemycircularvirus cassa1,cassava associated gemycircularvirus 1,G14,JQ412056,Complete genome,CaGCV1
Gemycircularvirus,Gemycircularvirus chicas1,chicken associated gemycircularvirus 1,27_Fec79971_chicken,KT862243,Complete genome,ChiGCV1
Gemycircularvirus,Gemycircularvirus chicas2,chicken associated gemycircularvirus 2,27_Fec16497_chicken,KT862242,Complete genome,ChiGCV2
Gemycircularvirus,Gemycircularvirus chickad1,chickadee associated gemycircularvirus 1,254065908,KT309029,Complete genome,ChGCV1
Gemycircularvirus,Gemycircularvirus citas1,Citrus Tunisia genomovirus 2,CTGV/2/TUN/2015,MN708485,Complete genome,
Gemycircularvirus,Gemycircularvirus cybusi1,spider associated circular virus 1,BC_I1644D_G1,MH545503,Complete genome,
Gemycircularvirus,Gemycircularvirus denbre1,bark beetle-associated genomovirus 1,BbaGV-1_US-AB02_739-2014,MG571096,Complete genome,
