Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Alphahypovirus,Alphahypovirus alternariae,Alternaria alternata hypovirus 1,YL-3C,MK189193,Coding-complete genome,AaHV1
Alphahypovirus,Alphahypovirus americanum,Cryphonectria hypovirus 2,NB58,L29010,Complete genome,CHV2
Alphahypovirus,Alphahypovirus bipolaridis,Bipolaris oryzae hypovirus 1,ES35,MH316122,Complete genome,BoHV1
Alphahypovirus,Alphahypovirus botrytidis,Botrytis cinerea hypovirus 2,BCS3_DN9124,MN617169,Coding-complete genome,BcHV2
Alphahypovirus,Alphahypovirus cryphonectriae,Cryphonectria hypovirus 1,EP713,M57938,Complete genome,CHV1
Alphahypovirus,Alphahypovirus fusarii,Fusarium graminearum hypovirus 1,HN10,MK279472,Coding-complete genome,FgHV1
Alphahypovirus,Alphahypovirus insecti,Wuhan insect virus 14,WHZM10168,KX883007,Coding-complete genome,WHIV14
Alphahypovirus,Alphahypovirus japonicum,Fusarium sambucinum hypovirus 1,Fs1837h,LC596823,Complete genome,FsHV1
Alphahypovirus,Alphahypovirus macrophominae,Macrophomina phaseolina hypovirus 2,2012-022,MT062425,Coding-complete genome,MpHV2
Alphahypovirus,Alphahypovirus macrophominae,Macrophomina phaseolina hypovirus 1,Mp2003b,KP900893,Partial genome (non-compliant),MpHV1
Alphahypovirus,Alphahypovirus sacchari,Fusarium sacchari hypovirus 1,F206,MN295969,Complete genome,FsHV1
Alphahypovirus,Alphahypovirus trichodermae,Trichoderma asperellum hypovirus 1,CBS 1131938,MK279475,Coding-complete genome,TaHV1
Betahypovirus,Betahypovirus americanum,Cryphonectria hypovirus 4,SR2,AY307099,Complete genome,CHV4
Betahypovirus,Betahypovirus cryphonectriae,Cryphonectria hypovirus 3,GH2 (WY),AF188515,Complete genome,CHV3
Betahypovirus,Betahypovirus fusarii,Fusarium oxysporum dianthi hypovirus 2,,MN176979,Complete genome,FodHV2
Betahypovirus,Betahypovirus phomopsis,Phomopsis longicolla hypovirus isolate ME711,,KF537784,Complete genome,PlHV1
Betahypovirus,Betahypovirus sclerotiniae,Sclerotinia sclerotiorum hypovirus 1 strain SZ-150,,JF781304,Complete genome,SsHV1
Betahypovirus,Betahypovirus sclerotiniae,Botrytis cinerea hypovirus 3,BCI1_3,MN617170,Complete genome,BcHV3
