Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Duamitovirus,Duamitovirus alal1,Alternaria alternata mitovirus 1,3Sy3,MK584829,Coding-complete genome,AaMV1
Duamitovirus,Duamitovirus azfi1,Azolla filiculoides mitovirus 1,Stockholm1,BK010423,Coding-complete genome,AzfiMV1
Duamitovirus,Duamitovirus bevu1,Beta vulgaris mitovirus 1,VDH66156,MG721540,Coding-complete genome,BevuMV1
Duamitovirus,Duamitovirus boci1,Botrytis cinerea mitovirus 1,CanBc-1c-78,EF580100,Complete genome,BcMV-1
Duamitovirus,Duamitovirus boci3,Botrytis cinerea mitovirus 3,pi285.8,LN827942,Coding-complete genome,BcMV-3
Duamitovirus,Duamitovirus bodo1,Botryosphaeria dothidea mitovirus 1,HNLJ-1,MT676452,Complete genome,BdMV1
Duamitovirus,Duamitovirus busp1,Buergenerula spartinae mitovirus 1,YDC07,KJ485703,Complete genome,BsMV1
Duamitovirus,Duamitovirus casa1,Cannabis sativa mitovirus 1,Purple Kush,BK010428,Coding-complete genome,CasaMV1
Duamitovirus,Duamitovirus cesp1,Ceratobasidium mitovirus 1,MUT4210,MN736968,Coding-complete genome,CbMV1
Duamitovirus,Duamitovirus chqu1,Chenopodium quinoa mitovirus 1,IPSP1,MF375475,Complete genome,CqMV1
Duamitovirus,Duamitovirus clod1,Clitocybe odora virus,Holm,HE717021,Complete genome,COV
Duamitovirus,Duamitovirus crpa1,Cryphonectria mitovirus 1,NB631,L31849,Complete genome,CMV1
Duamitovirus,Duamitovirus dapi1,Dahlia pinnata mitovirus 1,Rio Riata,BK010429,Coding-complete genome,DapiMV1
Duamitovirus,Duamitovirus epni1,Epicoccum nigrum mitovirus 1,34SY2,MK584828,Coding-complete genome,EnMV1
Duamitovirus,Duamitovirus fubo1,Fusarium boothii mitovirus 1,Ep-BL13,LC425112,Complete genome,FbMV1
Duamitovirus,Duamitovirus fupo3,Fusarium poae mitovirus 3,MAFF 240374,LC150566,Coding-complete genome,FpMV3
Duamitovirus,Duamitovirus fupo4,Fusarium poae mitovirus 4,MAFF 240374,LC150567,Coding-complete genome,FpMV4
Duamitovirus,Duamitovirus gima1,Gigaspora margarita mitovirus 1,BEG34,MG256173,Coding-complete genome,GmMV1
Duamitovirus,Duamitovirus gima2,Gigaspora margarita mitovirus 2,BEG34,MG256174,Coding-complete genome,GmMV2
Duamitovirus,Duamitovirus gima3,Gigaspora margarita mitovirus 3,BEG34,MG256175,Coding-complete genome,GmMV3
Duamitovirus,Duamitovirus gima4,Gigaspora margarita mitovirus 4,BEG34,MG256176,Coding-complete genome,GmMV4
Duamitovirus,Duamitovirus hean1,Heterobasidion mitovirus 1,an1,KJ873059,Complete genome,HetMV1
Duamitovirus,Duamitovirus hean3,Heterobasidion mitovirus 3,an1,MN058208,Complete genome,HetMV3
Duamitovirus,Duamitovirus hepa3,Heterobasidion [parviporum] mitovirus 3,pa3,MN058214,Coding-complete genome,HetMV3
Duamitovirus,Duamitovirus hulu1,Humulus lupulus mitovirus 1,Karahanasou,BK010431,Coding-complete genome,HuluMV1
