Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Auricularimonavirus,Auricularimonavirus armillariae,Armillaria mellea negative strand RNA virus 2,ELDO17,BK014417,Complete genome,AmNSRV2
Auricularimonavirus,Auricularimonavirus auriculariae,Auricularia heimuer negative-stranded RNA virus 1,CCMJ1222,MT259204,Complete genome,AhNRSV1
Auricularimonavirus,Auricularimonavirus bondarzewiae,Bondarzewia berkeleyi negative-strand RNA virus 1,FD-104,MT447187,Complete genome,BbNSRV1
Botrytimonavirus,Botrytimonavirus alphabotrytidis,Botrytis cinerea negative-stranded RNA virus 5,BCS15-DN100,MN617152,Coding-complete genome,BcNSRV5
Botrytimonavirus,Botrytimonavirus alphabotrytidis,Sclerotinia sclerotiorum negative-stranded RNA virus 10,2018SS,MT646378,Partial genome (non-compliant),SsNSRV10
Botrytimonavirus,Botrytimonavirus botrytidis,Botrytis cinerea negative-stranded RNA virus 7,BCS13_DN1,MT157413,Coding-complete genome,BcNSRV7
Botrytimonavirus,Botrytimonavirus botrytidis,Sclerotinia sclerotiorum negative-stranded RNA virus 11,2016SS,MT646406,Partial genome (non-compliant),SsNSRV11
Botrytimonavirus,Botrytimonavirus glycinis,soybean leaf-associated negative-stranded RNA virus 3,1,KT598228,Partial genome (non-compliant),SLaNSRV3
Botrytimonavirus,Botrytimonavirus sclerotiniae,Sclerotinia sclerotiorum negative-stranded RNA virus 2A,A2,MF444279,Coding-complete genome,SsNSRV2A
Botrytimonavirus,Botrytimonavirus sclerotiniae,Sclerotinia sclerotiorum negative-stranded RNA virus 2,500,KP900931,Coding-complete genome,SsNSRV2
Botrytimonavirus,Botrytimonavirus sclerotiniae,Sclerotinia sclerotiorum negative-stranded RNA virus 4,257,KP900930,Coding-complete genome,SsNSRV4
Botrytimonavirus,Botrytimonavirus sclerotiniae,Sclerotinia sclerotiorum negative-stranded RNA virus 4A,,MF444282,Partial genome (non-compliant),SsNSRV4A
Hubramonavirus,Hubramonavirus fusarii,Fusarium oxysporum mymonavirus 1,LJ3-3,OM049502,Complete genome,FoMyV1
Hubramonavirus,Hubramonavirus golovinomycesae,Golovinomyces cichoracearum negative-stranded RNA virus 1,UMSG3,MCBQ01018032,Complete genome,GcNSRV1
Hubramonavirus,Hubramonavirus hubeiense,Húběi rhabdo-like virus 4,arthropodmix13990,KX884403,Partial genome (non-compliant),HbRLV4
Hubramonavirus,Hubramonavirus terrae,H2BulkLitter1223 virus,H2_Bulk_Litter_12_scaffold_23,MN034260,Coding-complete genome,H2BLV
Hubramonavirus,Hubramonavirus vitis,grapevine-associated mononega-like virus 3,,MW648481,Complete genome,GaMLV3
Lentimonavirus,Lentimonavirus armillariae,Armillaria mellea negative-stranded RNA virus 1,CMW3973,MW423801,Complete genome,AmNSRV1
Lentimonavirus,Lentimonavirus lentinulae,Lentinula edodes negative-stranded RNA virus 1,HG3,LC466007,Complete genome,LeNSRV1
Penicillimonavirus,Penicillimonavirus alphaerysiphe,Erysiphe necator associated negative-stranded RNA virus 2,PMS5_DN69581,MN617061,Coding-complete genome,EnaNSRV2
Penicillimonavirus,Penicillimonavirus alphapenicillii,Penicillium adametzioides negative-stranded RNA virus 1,7Sy1,MK584858,Partial genome (non-compliant),PaNsRV1
Penicillimonavirus,Penicillimonavirus alphaplasmoparae,Plasmopara viticola lesion associated mononegaambi virus 1,DMG-A_DN36040,MN556995,Partial genome (non-compliant),PvaMV1
Penicillimonavirus,Penicillimonavirus betaerysiphe,Erysiphe necator associated negative-stranded RNA virus 5,PMS10_154,MN617042,Coding-complete genome,EnaNSRV5
Penicillimonavirus,Penicillimonavirus betapenicillii,Penicillium glabrum negative-stranded RNA virus 1,21Sy1,MK584853,Partial genome (non-compliant),PgRlV1
Penicillimonavirus,Penicillimonavirus betaplasmoparae,Plasmopara viticola lesion associated mononegaambi virus 4,DMG-G_DN44042,MN556999,Partial genome (non-compliant),PvaMV4
Penicillimonavirus,Penicillimonavirus betaplasmoparae,Plasmopara viticola lesion associated mononegaambi virus 2,DMS5_DN39757,MN556997,Partial genome (non-compliant),PvaMV2
Penicillimonavirus,Penicillimonavirus cercosporae,Cercospora beticola negative-stranded virus 3,CFNKY-BZ2-8,MZ599588,Coding-complete genome,CbNSV3
Penicillimonavirus,Penicillimonavirus deltaplasmoparae,Plasmopara viticola lesion associated mononegaambi virus 5,DMG-A_DN32949,MN557000,Partial genome (non-compliant),PvaMV5
Penicillimonavirus,Penicillimonavirus epsilonplasmoparae,Plasmopara viticola lesion associated mononegaambi virus 6,DMG-F_DN40135,MN557001,Partial genome (non-compliant),PvaMV6
Penicillimonavirus,Penicillimonavirus etaplasmoparae,Plasmopara viticola lesion associated mononegaambi virus 9,DMG-B_Contig8,MN557005,Partial genome (non-compliant),PvaMV9
Penicillimonavirus,Penicillimonavirus gammaerysiphe,Erysiphe necator associated negative-stranded RNA virus 6,PMS3_236,MN617052,Coding-complete genome,EnaNSRV6
Penicillimonavirus,Penicillimonavirus gammaplasmopara,Plasmopara viticola lesion associated mononegaambi virus 3,DMG-C_DN30838,MN556998,Partial genome (non-compliant),PvaMV3
Penicillimonavirus,Penicillimonavirus kilnbarnense,Kiln Barn virus,UK1,MF893248,Partial genome (non-compliant),KBV
Penicillimonavirus,Penicillimonavirus magnaporthe,Magnaporthe oryzae mononegaambi virus 1,937_NGS_MO,MW752165,Coding-complete genome,MoMV1
