Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Alphapartitivirus,Alphapartitivirus betae,beet cryptic virus 1,Hungary,RNA1: EU489061;,Complete genome,BCV1
,,,,RNA2: EU489062,,
Alphapartitivirus,Alphapartitivirus carotae,carrot cryptic virus,Germany,RNA1: FJ550604;,Complete genome,CCV
,,,,RNA2: FJ550605,,
Alphapartitivirus,Alphapartitivirus cerasi,cherry chlorotic rusty spot associated partitivirus,Turkey,RNA1: AJ781168;,Complete genome,CCRSaPV
,,,,RNA2: AJ781167,,
Alphapartitivirus,Alphapartitivirus cerasi,cherry chlorotic rusty spot associated partitivirus,Campania,RNA1: AJ781401;,Complete genome,CCRSaPV
,,,,RNA2: AJ781402,,
Alphapartitivirus,Alphapartitivirus chondrosteri,Chondrostereum purpureum cryptic virus 1,Mesachie Lake,RNA1: AM999771;,Complete genome,CpCV1
,,,,RNA2: AM999772,,
Alphapartitivirus,Alphapartitivirus duodecimheterobasidion,Heterobasidion partitivirus 12,an1/94221,RNA1: KF963175;,Complete genome,HetPV12
,,,,RNA2: KF963176,,
Alphapartitivirus,Alphapartitivirus flammulinae,Flammulina velutipes browning virus,Magae,RNA1: AB465308;,Complete genome,FvBV
,,,,RNA2: AB465309,,
Alphapartitivirus,Alphapartitivirus helicobasidii,Helicobasidium mompa partitivirus V70,Osaki,RNA1: AB025903,Partial genome (non-compliant),HmPVV70
Alphapartitivirus,Alphapartitivirus quindecimheterobasidion,Heterobasidion partitivirus 15,pa1/95122,RNA1: KF963186;,Complete genome,HetPV15
,,,,RNA2: KF963187,,
Alphapartitivirus,Alphapartitivirus roselliniae,Rosellinia necatrix partitivirus 2,W57,RNA1: AB569997;,Complete genome,RnPV2
,,,,RNA2: AB569998,,
Alphapartitivirus,Alphapartitivirus tredecimheterobasidion,Heterobasidion partitivirus 13,an1/94233,RNA1: KF963177;,Complete genome,HetPV13
,,,,RNA2: KF963178,,
Alphapartitivirus,Alphapartitivirus tredecimheterobasidion,Heterobasidion partitivirus 13,an2/S45-8,RNA1: KF963179;,Complete genome,HetPV13
,,,,RNA2: KF963180,,
Alphapartitivirus,Alphapartitivirus tredecimheterobasidion,Heterobasidion partitivirus 13,an3/5003,RNA1: KF963181;,Partial genome (non-compliant),HetPV13
,,,,RNA2: KF963182,,
Alphapartitivirus,Alphapartitivirus tredecimheterobasidion,Heterobasidion partitivirus 13,pa1/1R41,RNA1: KF963183;,Partial genome (non-compliant),HetPV13
,,,,RNA2: KF963184,,
Alphapartitivirus,Alphapartitivirus trifolii,white clover cryptic virus 1,Boccardo,RNA1: AY705784;,Complete genome,WCCV1
,,,,RNA2: AY705785,,
Alphapartitivirus,Alphapartitivirus triheterobasidion,Heterobasidion partitivirus 3,ec1,RNA1: FJ816271;,Complete genome,HetPV3
,,,,RNA2: FJ816272,,
Alphapartitivirus,Alphapartitivirus uniheterobasidion,Heterobasidion partitivirus 1,ab1,RNA1: HQ541323;,Complete genome,HetPV1
,,,,RNA2: HQ541324,,
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,Germany,RNA1: AY751737;,Complete genome,VCV
,,,,RNA2: AY751738,,
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,FA061102,RNA1: EU605883;,Complete genome,VCV
,,,,RNA2: EU605884,,
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,Dreifach Weisse,RNA1: EF173392;,Complete genome,VCV
,,,,RNA2: EF173391,,
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,Hangdown Gruenkern,RNA1: EF173396;,Complete genome,VCV
,,,,RNA2: EF173395,,
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,Fruehe Weisskeimige,RNA1: EF173394;,Complete genome,VCV
,,,,RNA2: EF173393,,
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,The Sutton,RNA1: EF173389,Partial genome (non-compliant),VCV
Alphapartitivirus,Alphapartitivirus viciae,Vicia cryptic virus,Divine,RNA2: EF173390,Partial genome (non-compliant),VCV
Betapartitivirus,Betapartitivirus anethi,dill cryptic virus 2,IPP_hortorum,RNA1: JX971984;,Complete genome,DCV2
,,,,RNA2: JX971985,,
Betapartitivirus,Betapartitivirus atkinsonellae,Atkinsonella hypoxylon virus,2H,RNA1: L39125;,Complete genome,AhV
,,,,RNA2: L39126,,
Betapartitivirus,Betapartitivirus cannabis,Cannabis cryptic virus,Fedora17,RNA1: JN196536;,Complete genome,CCV
,,,,RNA2: JN196537,,
Betapartitivirus,Betapartitivirus cannabis,Cannabis cryptic virus,hemp09,RNA1: KX709964;,Complete genome,CCV
,,,,RNA2: KX709965,,
Betapartitivirus,Betapartitivirus ceratocystis,Ceratocystis resinifera virus 1,Deng,RNA1: AY603052;,Complete genome,CrV1
,,,,RNA2: AY603051,,
Betapartitivirus,Betapartitivirus ceratocystis,Ceratocystis polonica partitivirus,CMW7151,RNA1: AY247204;,Complete genome,CpPV
,,,,RNA2: AY247205,,
Betapartitivirus,Betapartitivirus ceratocystis,Ceratocystis polonica partitivirus,CMW2284,RNA1: AY260756;,Complete genome,CpPV
,,,,RNA2: AY260757,,
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1,RNA1: HM565953;,Complete genome,HetPV2
,,,,RNA2: HM565954,,
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1-b,RNA1: KF551880,Partial genome (non-compliant),HetPV2
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1-c,RNA1: KF551881,Partial genome (non-compliant),HetPV2
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1-e,RNA1: KF551882,Partial genome (non-compliant),HetPV2
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1-f,RNA1: KF551883,Partial genome (non-compliant),HetPV2
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1-d,RNA1: KF551884,Partial genome (non-compliant),HetPV2
Betapartitivirus,Betapartitivirus duoheterobasidion,Heterobasidion partitivirus 2,pa1-g,RNA1: KF551885,Partial genome (non-compliant),HetPV2
Betapartitivirus,Betapartitivirus fusarii,Fusarium poae virus 1,A11,RNA1: AF047013;,Complete genome,FpV1
,,,,RNA2: AF015924,,
Betapartitivirus,Betapartitivirus fusarii,Fusarium poae virus 1,240374,RNA1: LC150606;,Complete genome,FpV1
,,,,RNA2: LC150607,,
Betapartitivirus,Betapartitivirus humuli,hop trefoil cryptic virus 2,IPP_GelbSK,RNA1: JX971980;,Complete genome,HTCV2
,,,,RNA2: JX971981,,
Betapartitivirus,Betapartitivirus octiheterobasidion,Heterobasidion partitivirus 8,ir1,RNA1: JX625227;,Complete genome,HetPV8
,,,,RNA2: JX625228,,
Betapartitivirus,Betapartitivirus piheterobasidion,Heterobasidion partitivirus P,Ihrmark,RNA1: AF473549,Partial genome (non-compliant),HetPVP
Betapartitivirus,Betapartitivirus pleuroti,Pleurotus ostreatus virus 1,South Korea,RNA1: AY533038;,Complete genome,PoV1
,,,,RNA2: AY533036,,
Betapartitivirus,Betapartitivirus pratense,red clover cryptic virus 2,IPP_Nemaro,RNA1: JX971978;,Complete genome,RCCV2
,,,,RNA2: JX971979,,
Betapartitivirus,Betapartitivirus primulae,Primula malacoides virus 1,China,RNA1: EU195326;,Complete genome,PmV1
